employee_number,Municipality,Time_period,Economic_entities_in_operation_at_the_beginning_of_the_year_units,Country,County
100–149 employees,Tauragė d. mun.,2016,8,Republic of Lithuania,Taurage county
100–149 employees,Mažeikiai d. mun.,2016,16,Republic of Lithuania,Telsiai county
100–149 employees,Plungė d. mun.,2016,3,Republic of Lithuania,Telsiai county
100–149 employees,Rietavas mun.,2016,3,Republic of Lithuania,Telsiai county
100–149 employees,Telšiai d. mun.,2016,9,Republic of Lithuania,Telsiai county
100–149 employees,Anykščiai d. mun.,2016,5,Republic of Lithuania,Utena county
100–149 employees,Ignalina d. mun.,2016,2,Republic of Lithuania,Utena county
100–149 employees,Molėtai d. mun.,2016,1,Republic of Lithuania,Utena county
100–149 employees,Utena d. mun.,2016,11,Republic of Lithuania,Utena county
100–149 employees,Visaginas mun.,2016,3,Republic of Lithuania,Utena county
100–149 employees,Zarasai d. mun.,2016,6,Republic of Lithuania,Utena county
100–149 employees,Elektrėnai mun.,2016,5,Republic of Lithuania,Vilnius county
100–149 employees,Šalčininkai d. mun.,2016,6,Republic of Lithuania,Vilnius county
100–149 employees,Širvintos d. mun.,2016,3,Republic of Lithuania,Vilnius county
100–149 employees,Švenčionys d. mun.,2016,5,Republic of Lithuania,Vilnius county
100–149 employees,Trakai d. mun.,2016,6,Republic of Lithuania,Vilnius county
100–149 employees,Ukmergė d. mun.,2016,8,Republic of Lithuania,Vilnius county
100–149 employees,Vilnius c. mun.,2016,217,Republic of Lithuania,Vilnius county
100–149 employees,Vilnius d. mun.,2016,17,Republic of Lithuania,Vilnius county
150–249 employees,Alytus t. mun.,2016,20,Republic of Lithuania,Alytus county
150–249 employees,Alytus d. mun.,2016,1,Republic of Lithuania,Alytus county
150–249 employees,Druskininkai mun.,2016,3,Republic of Lithuania,Alytus county
150–249 employees,Lazdijai d. mun.,2016,2,Republic of Lithuania,Alytus county
150–249 employees,Varėna d. mun.,2016,4,Republic of Lithuania,Alytus county
150–249 employees,Birštonas mun.,2016,1,Republic of Lithuania,Kanuas county
150–249 employees,Jonava d. mun.,2016,5,Republic of Lithuania,Kanuas county
150–249 employees,Kaišiadorys d. mun.,2016,7,Republic of Lithuania,Kanuas county
150–249 employees,Kaunas c. mun.,2016,76,Republic of Lithuania,Kanuas county
150–249 employees,Kaunas d. mun.,2016,7,Republic of Lithuania,Kanuas county
150–249 employees,Kėdainiai d. mun.,2016,3,Republic of Lithuania,Kanuas county
150–249 employees,Prienai d. mun.,2016,5,Republic of Lithuania,Kanuas county
150–249 employees,Raseiniai d. mun.,2016,3,Republic of Lithuania,Kanuas county
150–249 employees,Klaipėda c. mun.,2016,34,Republic of Lithuania,Klaipeda county
150–249 employees,Klaipėda d. mun.,2016,5,Republic of Lithuania,Klaipeda county
150–249 employees,Kretinga d. mun.,2016,3,Republic of Lithuania,Klaipeda county
150–249 employees,Neringa mun.,2016,,Republic of Lithuania,Klaipeda county
150–249 employees,Palanga t. mun.,2016,1,Republic of Lithuania,Klaipeda county
150–249 employees,Skuodas d. mun.,2016,1,Republic of Lithuania,Klaipeda county
150–249 employees,Šilutė d. mun.,2016,3,Republic of Lithuania,Klaipeda county
150–249 employees,Kalvarija mun.,2016,,Republic of Lithuania,Marijampole county
150–249 employees,Kazlų Rūda mun.,2016,1,Republic of Lithuania,Marijampole county
150–249 employees,Marijampolė mun.,2016,10,Republic of Lithuania,Marijampole county
150–249 employees,Marijampolė d. mun.,2016,,Republic of Lithuania,Marijampole county
150–249 employees,Šakiai d. mun.,2016,3,Republic of Lithuania,Marijampole county
150–249 employees,Vilkaviškis d. mun.,2016,7,Republic of Lithuania,Marijampole county
150–249 employees,Biržai d. mun.,2016,4,Republic of Lithuania,Panevezys county
150–249 employees,Kupiškis d. mun.,2016,3,Republic of Lithuania,Panevezys county
150–249 employees,Panevėžys c. mun.,2016,15,Republic of Lithuania,Panevezys county
150–249 employees,Panevėžys d. mun.,2016,1,Republic of Lithuania,Panevezys county
150–249 employees,Pasvalys d. mun.,2016,1,Republic of Lithuania,Panevezys county
150–249 employees,Rokiškis d. mun.,2016,6,Republic of Lithuania,Panevezys county
150–249 employees,Akmenė d. mun.,2016,1,Republic of Lithuania,Siauliai county
150–249 employees,Joniškis d. mun.,2016,3,Republic of Lithuania,Siauliai county
150–249 employees,Kelmė d. mun.,2016,2,Republic of Lithuania,Siauliai county
150–249 employees,Pakruojis d. mun.,2016,1,Republic of Lithuania,Siauliai county
150–249 employees,Radviliškis d. mun.,2016,2,Republic of Lithuania,Siauliai county
150–249 employees,Šiauliai c. mun.,2016,17,Republic of Lithuania,Siauliai county
150–249 employees,Šiauliai d. mun.,2016,3,Republic of Lithuania,Siauliai county
150–249 employees,Jurbarkas d. mun.,2016,3,Republic of Lithuania,Taurage county
150–249 employees,Pagėgiai mun.,2016,1,Republic of Lithuania,Taurage county
150–249 employees,Šilalė d. mun.,2016,4,Republic of Lithuania,Taurage county
150–249 employees,Tauragė d. mun.,2016,5,Republic of Lithuania,Taurage county
150–249 employees,Mažeikiai d. mun.,2016,6,Republic of Lithuania,Telsiai county
150–249 employees,Plungė d. mun.,2016,2,Republic of Lithuania,Telsiai county
150–249 employees,Rietavas mun.,2016,,Republic of Lithuania,Telsiai county
150–249 employees,Telšiai d. mun.,2016,3,Republic of Lithuania,Telsiai county
150–249 employees,Anykščiai d. mun.,2016,4,Republic of Lithuania,Utena county
150–249 employees,Ignalina d. mun.,2016,1,Republic of Lithuania,Utena county
150–249 employees,Molėtai d. mun.,2016,4,Republic of Lithuania,Utena county
150–249 employees,Utena d. mun.,2016,7,Republic of Lithuania,Utena county
150–249 employees,Visaginas mun.,2016,2,Republic of Lithuania,Utena county
150–249 employees,Zarasai d. mun.,2016,1,Republic of Lithuania,Utena county
150–249 employees,Elektrėnai mun.,2016,9,Republic of Lithuania,Vilnius county
150–249 employees,Šalčininkai d. mun.,2016,2,Republic of Lithuania,Vilnius county
150–249 employees,Širvintos d. mun.,2016,1,Republic of Lithuania,Vilnius county
150–249 employees,Švenčionys d. mun.,2016,5,Republic of Lithuania,Vilnius county
150–249 employees,Trakai d. mun.,2016,3,Republic of Lithuania,Vilnius county
150–249 employees,Ukmergė d. mun.,2016,9,Republic of Lithuania,Vilnius county
150–249 employees,Vilnius c. mun.,2016,141,Republic of Lithuania,Vilnius county
150–249 employees,Vilnius d. mun.,2016,9,Republic of Lithuania,Vilnius county
250–499 employees,Alytus t. mun.,2016,4,Republic of Lithuania,Alytus county
250–499 employees,Alytus d. mun.,2016,,Republic of Lithuania,Alytus county
250–499 employees,Druskininkai mun.,2016,3,Republic of Lithuania,Alytus county
250–499 employees,Lazdijai d. mun.,2016,1,Republic of Lithuania,Alytus county
250–499 employees,Varėna d. mun.,2016,,Republic of Lithuania,Alytus county
250–499 employees,Birštonas mun.,2016,,Republic of Lithuania,Kanuas county
250–499 employees,Jonava d. mun.,2016,4,Republic of Lithuania,Kanuas county
250–499 employees,Kaišiadorys d. mun.,2016,,Republic of Lithuania,Kanuas county
250–499 employees,Kaunas c. mun.,2016,36,Republic of Lithuania,Kanuas county
250–499 employees,Kaunas d. mun.,2016,4,Republic of Lithuania,Kanuas county
250–499 employees,Kėdainiai d. mun.,2016,5,Republic of Lithuania,Kanuas county
250–499 employees,Prienai d. mun.,2016,,Republic of Lithuania,Kanuas county
250–499 employees,Raseiniai d. mun.,2016,2,Republic of Lithuania,Kanuas county
250–499 employees,Klaipėda c. mun.,2016,27,Republic of Lithuania,Klaipeda county
250–499 employees,Klaipėda d. mun.,2016,2,Republic of Lithuania,Klaipeda county
250–499 employees,Kretinga d. mun.,2016,2,Republic of Lithuania,Klaipeda county
250–499 employees,Neringa mun.,2016,,Republic of Lithuania,Klaipeda county
250–499 employees,Palanga t. mun.,2016,1,Republic of Lithuania,Klaipeda county
250–499 employees,Skuodas d. mun.,2016,,Republic of Lithuania,Klaipeda county
250–499 employees,Šilutė d. mun.,2016,2,Republic of Lithuania,Klaipeda county
250–499 employees,Kalvarija mun.,2016,,Republic of Lithuania,Marijampole county
250–499 employees,Kazlų Rūda mun.,2016,,Republic of Lithuania,Marijampole county
250–499 employees,Marijampolė mun.,2016,10,Republic of Lithuania,Marijampole county
250–499 employees,Marijampolė d. mun.,2016,,Republic of Lithuania,Marijampole county
250–499 employees,Šakiai d. mun.,2016,2,Republic of Lithuania,Marijampole county
250–499 employees,Vilkaviškis d. mun.,2016,2,Republic of Lithuania,Marijampole county
250–499 employees,Biržai d. mun.,2016,2,Republic of Lithuania,Panevezys county
250–499 employees,Kupiškis d. mun.,2016,,Republic of Lithuania,Panevezys county
250–499 employees,Panevėžys c. mun.,2016,18,Republic of Lithuania,Panevezys county
250–499 employees,Panevėžys d. mun.,2016,1,Republic of Lithuania,Panevezys county
250–499 employees,Pasvalys d. mun.,2016,2,Republic of Lithuania,Panevezys county
250–499 employees,Rokiškis d. mun.,2016,2,Republic of Lithuania,Panevezys county
250–499 employees,Akmenė d. mun.,2016,,Republic of Lithuania,Siauliai county
250–499 employees,Joniškis d. mun.,2016,1,Republic of Lithuania,Siauliai county
250–499 employees,Kelmė d. mun.,2016,1,Republic of Lithuania,Siauliai county
250–499 employees,Pakruojis d. mun.,2016,1,Republic of Lithuania,Siauliai county
250–499 employees,Radviliškis d. mun.,2016,2,Republic of Lithuania,Siauliai county
250–499 employees,Šiauliai c. mun.,2016,28,Republic of Lithuania,Siauliai county
250–499 employees,Šiauliai d. mun.,2016,,Republic of Lithuania,Siauliai county
250–499 employees,Jurbarkas d. mun.,2016,2,Republic of Lithuania,Taurage county
250–499 employees,Pagėgiai mun.,2016,,Republic of Lithuania,Taurage county
250–499 employees,Šilalė d. mun.,2016,,Republic of Lithuania,Taurage county
250–499 employees,Tauragė d. mun.,2016,2,Republic of Lithuania,Taurage county
250–499 employees,Mažeikiai d. mun.,2016,5,Republic of Lithuania,Telsiai county
250–499 employees,Plungė d. mun.,2016,4,Republic of Lithuania,Telsiai county
250–499 employees,Rietavas mun.,2016,1,Republic of Lithuania,Telsiai county
250–499 employees,Telšiai d. mun.,2016,4,Republic of Lithuania,Telsiai county
250–499 employees,Anykščiai d. mun.,2016,,Republic of Lithuania,Utena county
250–499 employees,Ignalina d. mun.,2016,1,Republic of Lithuania,Utena county
250–499 employees,Molėtai d. mun.,2016,,Republic of Lithuania,Utena county
250–499 employees,Utena d. mun.,2016,9,Republic of Lithuania,Utena county
250–499 employees,Visaginas mun.,2016,2,Republic of Lithuania,Utena county
250–499 employees,Zarasai d. mun.,2016,,Republic of Lithuania,Utena county
250–499 employees,Elektrėnai mun.,2016,2,Republic of Lithuania,Vilnius county
250–499 employees,Šalčininkai d. mun.,2016,1,Republic of Lithuania,Vilnius county
250–499 employees,Širvintos d. mun.,2016,,Republic of Lithuania,Vilnius county
250–499 employees,Švenčionys d. mun.,2016,,Republic of Lithuania,Vilnius county
250–499 employees,Trakai d. mun.,2016,2,Republic of Lithuania,Vilnius county
250–499 employees,Ukmergė d. mun.,2016,2,Republic of Lithuania,Vilnius county
250–499 employees,Vilnius c. mun.,2016,121,Republic of Lithuania,Vilnius county
250–499 employees,Vilnius d. mun.,2016,5,Republic of Lithuania,Vilnius county
500–999 employees,Alytus t. mun.,2016,3,Republic of Lithuania,Alytus county
500–999 employees,Alytus d. mun.,2016,,Republic of Lithuania,Alytus county
500–999 employees,Druskininkai mun.,2016,1,Republic of Lithuania,Alytus county
500–999 employees,Lazdijai d. mun.,2016,,Republic of Lithuania,Alytus county
500–999 employees,Varėna d. mun.,2016,,Republic of Lithuania,Alytus county
500–999 employees,Birštonas mun.,2016,,Republic of Lithuania,Kanuas county
500–999 employees,Jonava d. mun.,2016,,Republic of Lithuania,Kanuas county
500–999 employees,Kaišiadorys d. mun.,2016,2,Republic of Lithuania,Kanuas county
500–999 employees,Kaunas c. mun.,2016,21,Republic of Lithuania,Kanuas county
500–999 employees,Kaunas d. mun.,2016,3,Republic of Lithuania,Kanuas county
500–999 employees,Kėdainiai d. mun.,2016,3,Republic of Lithuania,Kanuas county
500–999 employees,Prienai d. mun.,2016,,Republic of Lithuania,Kanuas county
500–999 employees,Raseiniai d. mun.,2016,1,Republic of Lithuania,Kanuas county
500–999 employees,Klaipėda c. mun.,2016,5,Republic of Lithuania,Klaipeda county
500–999 employees,Klaipėda d. mun.,2016,4,Republic of Lithuania,Klaipeda county
500–999 employees,Kretinga d. mun.,2016,1,Republic of Lithuania,Klaipeda county
500–999 employees,Neringa mun.,2016,,Republic of Lithuania,Klaipeda county
500–999 employees,Palanga t. mun.,2016,,Republic of Lithuania,Klaipeda county
500–999 employees,Skuodas d. mun.,2016,,Republic of Lithuania,Klaipeda county
500–999 employees,Šilutė d. mun.,2016,2,Republic of Lithuania,Klaipeda county
500–999 employees,Kalvarija mun.,2016,,Republic of Lithuania,Marijampole county
500–999 employees,Kazlų Rūda mun.,2016,1,Republic of Lithuania,Marijampole county
500–999 employees,Marijampolė mun.,2016,3,Republic of Lithuania,Marijampole county
500–999 employees,Marijampolė d. mun.,2016,,Republic of Lithuania,Marijampole county
500–999 employees,Šakiai d. mun.,2016,,Republic of Lithuania,Marijampole county
500–999 employees,Vilkaviškis d. mun.,2016,,Republic of Lithuania,Marijampole county
500–999 employees,Biržai d. mun.,2016,,Republic of Lithuania,Panevezys county
500–999 employees,Kupiškis d. mun.,2016,,Republic of Lithuania,Panevezys county
500–999 employees,Panevėžys c. mun.,2016,5,Republic of Lithuania,Panevezys county
500–999 employees,Panevėžys d. mun.,2016,,Republic of Lithuania,Panevezys county
500–999 employees,Pasvalys d. mun.,2016,,Republic of Lithuania,Panevezys county
500–999 employees,Rokiškis d. mun.,2016,,Republic of Lithuania,Panevezys county
500–999 employees,Akmenė d. mun.,2016,1,Republic of Lithuania,Siauliai county
500–999 employees,Joniškis d. mun.,2016,,Republic of Lithuania,Siauliai county
500–999 employees,Kelmė d. mun.,2016,,Republic of Lithuania,Siauliai county
500–999 employees,Pakruojis d. mun.,2016,,Republic of Lithuania,Siauliai county
500–999 employees,Radviliškis d. mun.,2016,,Republic of Lithuania,Siauliai county
500–999 employees,Šiauliai c. mun.,2016,3,Republic of Lithuania,Siauliai county
500–999 employees,Šiauliai d. mun.,2016,1,Republic of Lithuania,Siauliai county
500–999 employees,Jurbarkas d. mun.,2016,,Republic of Lithuania,Taurage county
500–999 employees,Pagėgiai mun.,2016,1,Republic of Lithuania,Taurage county
500–999 employees,Šilalė d. mun.,2016,,Republic of Lithuania,Taurage county
500–999 employees,Tauragė d. mun.,2016,,Republic of Lithuania,Taurage county
500–999 employees,Mažeikiai d. mun.,2016,1,Republic of Lithuania,Telsiai county
500–999 employees,Plungė d. mun.,2016,1,Republic of Lithuania,Telsiai county
500–999 employees,Rietavas mun.,2016,,Republic of Lithuania,Telsiai county
500–999 employees,Telšiai d. mun.,2016,,Republic of Lithuania,Telsiai county
500–999 employees,Anykščiai d. mun.,2016,,Republic of Lithuania,Utena county
500–999 employees,Ignalina d. mun.,2016,,Republic of Lithuania,Utena county
500–999 employees,Molėtai d. mun.,2016,,Republic of Lithuania,Utena county
500–999 employees,Utena d. mun.,2016,3,Republic of Lithuania,Utena county
500–999 employees,Visaginas mun.,2016,2,Republic of Lithuania,Utena county
500–999 employees,Zarasai d. mun.,2016,,Republic of Lithuania,Utena county
500–999 employees,Elektrėnai mun.,2016,1,Republic of Lithuania,Vilnius county
500–999 employees,Šalčininkai d. mun.,2016,,Republic of Lithuania,Vilnius county
500–999 employees,Širvintos d. mun.,2016,,Republic of Lithuania,Vilnius county
500–999 employees,Švenčionys d. mun.,2016,,Republic of Lithuania,Vilnius county
500–999 employees,Trakai d. mun.,2016,1,Republic of Lithuania,Vilnius county
500–999 employees,Ukmergė d. mun.,2016,,Republic of Lithuania,Vilnius county
500–999 employees,Vilnius c. mun.,2016,70,Republic of Lithuania,Vilnius county
500–999 employees,Vilnius d. mun.,2016,1,Republic of Lithuania,Vilnius county
1 000 and more employees,Alytus t. mun.,2016,,Republic of Lithuania,Alytus county
1 000 and more employees,Alytus d. mun.,2016,,Republic of Lithuania,Alytus county
1 000 and more employees,Druskininkai mun.,2016,,Republic of Lithuania,Alytus county
1 000 and more employees,Lazdijai d. mun.,2016,,Republic of Lithuania,Alytus county
1 000 and more employees,Varėna d. mun.,2016,,Republic of Lithuania,Alytus county
1 000 and more employees,Birštonas mun.,2016,,Republic of Lithuania,Kanuas county
1 000 and more employees,Jonava d. mun.,2016,1,Republic of Lithuania,Kanuas county
1 000 and more employees,Kaišiadorys d. mun.,2016,,Republic of Lithuania,Kanuas county
1 000 and more employees,Kaunas c. mun.,2016,10,Republic of Lithuania,Kanuas county
1 000 and more employees,Kaunas d. mun.,2016,,Republic of Lithuania,Kanuas county
1 000 and more employees,Kėdainiai d. mun.,2016,,Republic of Lithuania,Kanuas county
1 000 and more employees,Prienai d. mun.,2016,,Republic of Lithuania,Kanuas county
1 000 and more employees,Raseiniai d. mun.,2016,,Republic of Lithuania,Kanuas county
1 000 and more employees,Klaipėda c. mun.,2016,6,Republic of Lithuania,Klaipeda county
1 000 and more employees,Klaipėda d. mun.,2016,,Republic of Lithuania,Klaipeda county
1 000 and more employees,Kretinga d. mun.,2016,,Republic of Lithuania,Klaipeda county
1 000 and more employees,Neringa mun.,2016,,Republic of Lithuania,Klaipeda county
1 000 and more employees,Palanga t. mun.,2016,,Republic of Lithuania,Klaipeda county
1 000 and more employees,Skuodas d. mun.,2016,,Republic of Lithuania,Klaipeda county
1 000 and more employees,Šilutė d. mun.,2016,,Republic of Lithuania,Klaipeda county
1 000 and more employees,Kalvarija mun.,2016,,Republic of Lithuania,Marijampole county
1 000 and more employees,Kazlų Rūda mun.,2016,,Republic of Lithuania,Marijampole county
1 000 and more employees,Marijampolė mun.,2016,,Republic of Lithuania,Marijampole county
1 000 and more employees,Marijampolė d. mun.,2016,,Republic of Lithuania,Marijampole county
1 000 and more employees,Šakiai d. mun.,2016,,Republic of Lithuania,Marijampole county
1 000 and more employees,Vilkaviškis d. mun.,2016,,Republic of Lithuania,Marijampole county
1 000 and more employees,Biržai d. mun.,2016,,Republic of Lithuania,Panevezys county
1 000 and more employees,Kupiškis d. mun.,2016,,Republic of Lithuania,Panevezys county
1 000 and more employees,Panevėžys c. mun.,2016,1,Republic of Lithuania,Panevezys county
1 000 and more employees,Panevėžys d. mun.,2016,,Republic of Lithuania,Panevezys county
1 000 and more employees,Pasvalys d. mun.,2016,,Republic of Lithuania,Panevezys county
1 000 and more employees,Rokiškis d. mun.,2016,1,Republic of Lithuania,Panevezys county
1 000 and more employees,Akmenė d. mun.,2016,,Republic of Lithuania,Siauliai county
1 000 and more employees,Joniškis d. mun.,2016,,Republic of Lithuania,Siauliai county
1 000 and more employees,Kelmė d. mun.,2016,,Republic of Lithuania,Siauliai county
1 000 and more employees,Pakruojis d. mun.,2016,,Republic of Lithuania,Siauliai county
1 000 and more employees,Radviliškis d. mun.,2016,,Republic of Lithuania,Siauliai county
1 000 and more employees,Šiauliai c. mun.,2016,1,Republic of Lithuania,Siauliai county
1 000 and more employees,Šiauliai d. mun.,2016,,Republic of Lithuania,Siauliai county
1 000 and more employees,Jurbarkas d. mun.,2016,,Republic of Lithuania,Taurage county
1 000 and more employees,Pagėgiai mun.,2016,,Republic of Lithuania,Taurage county
1 000 and more employees,Šilalė d. mun.,2016,,Republic of Lithuania,Taurage county
1 000 and more employees,Tauragė d. mun.,2016,,Republic of Lithuania,Taurage county
1 000 and more employees,Mažeikiai d. mun.,2016,1,Republic of Lithuania,Telsiai county
1 000 and more employees,Plungė d. mun.,2016,,Republic of Lithuania,Telsiai county
1 000 and more employees,Rietavas mun.,2016,,Republic of Lithuania,Telsiai county
1 000 and more employees,Telšiai d. mun.,2016,1,Republic of Lithuania,Telsiai county
1 000 and more employees,Anykščiai d. mun.,2016,,Republic of Lithuania,Utena county
1 000 and more employees,Ignalina d. mun.,2016,,Republic of Lithuania,Utena county
1 000 and more employees,Molėtai d. mun.,2016,,Republic of Lithuania,Utena county
1 000 and more employees,Utena d. mun.,2016,,Republic of Lithuania,Utena county
1 000 and more employees,Visaginas mun.,2016,1,Republic of Lithuania,Utena county
1 000 and more employees,Zarasai d. mun.,2016,,Republic of Lithuania,Utena county
1 000 and more employees,Elektrėnai mun.,2016,1,Republic of Lithuania,Vilnius county
1 000 and more employees,Šalčininkai d. mun.,2016,,Republic of Lithuania,Vilnius county
1 000 and more employees,Širvintos d. mun.,2016,,Republic of Lithuania,Vilnius county
1 000 and more employees,Švenčionys d. mun.,2016,1,Republic of Lithuania,Vilnius county
1 000 and more employees,Trakai d. mun.,2016,,Republic of Lithuania,Vilnius county
1 000 and more employees,Ukmergė d. mun.,2016,,Republic of Lithuania,Vilnius county
1 000 and more employees,Vilnius c. mun.,2016,37,Republic of Lithuania,Vilnius county
1 000 and more employees,Vilnius d. mun.,2016,2,Republic of Lithuania,Vilnius county
